	sub_id	filename_prefix	tracked_point	event_type	ix_ref	ix_pred
371	pp167	sub-pp167_task-walkSlow	right_ankle	FC	661	664
372	pp167	sub-pp167_task-walkSlow	right_ankle	FC	905	908
373	pp167	sub-pp167_task-walkSlow	right_ankle	FC	1149	1150
374	pp167	sub-pp167_task-walkSlow	left_shank	IC	130	129
375	pp167	sub-pp167_task-walkSlow	left_shank	IC	379	378
376	pp167	sub-pp167_task-walkSlow	left_shank	IC	624	624
377	pp167	sub-pp167_task-walkSlow	left_shank	IC	867	868
378	pp167	sub-pp167_task-walkSlow	left_shank	IC	1109	1112
379	pp167	sub-pp167_task-walkSlow	left_shank	FC	36	36
380	pp167	sub-pp167_task-walkSlow	left_shank	FC	289	288
381	pp167	sub-pp167_task-walkSlow	left_shank	FC	540	541
382	pp167	sub-pp167_task-walkSlow	left_shank	FC	783	781
383	pp167	sub-pp167_task-walkSlow	left_shank	FC	1028	1029
384	pp167	sub-pp167_task-walkSlow	right_shank	IC	256	257
385	pp167	sub-pp167_task-walkSlow	right_shank	IC	507	501
386	pp167	sub-pp167_task-walkSlow	right_shank	IC	741	742
387	pp167	sub-pp167_task-walkSlow	right_shank	IC	991	989
388	pp167	sub-pp167_task-walkSlow	right_shank	IC	1241	1238
389	pp167	sub-pp167_task-walkSlow	right_shank	FC	167	168
390	pp167	sub-pp167_task-walkSlow	right_shank	FC	416	413
391	pp167	sub-pp167_task-walkSlow	right_shank	FC	661	661
392	pp167	sub-pp167_task-walkSlow	right_shank	FC	905	907
393	pp167	sub-pp167_task-walkSlow	right_shank	FC	1149	1151
394	pp167	sub-pp167_task-walkSlow	right_shank	FC		1262
395	pp126	sub-pp126_task-walkFast	left_ankle	IC	182	177
396	pp126	sub-pp126_task-walkFast	left_ankle	IC	425	426
397	pp126	sub-pp126_task-walkFast	left_ankle	IC	654	655
398	pp126	sub-pp126_task-walkFast	left_ankle	IC	877	876
399	pp126	sub-pp126_task-walkFast	left_ankle	FC	74	74
400	pp126	sub-pp126_task-walkFast	left_ankle	FC	344	344
401	pp126	sub-pp126_task-walkFast	left_ankle	FC	570	571
402	pp126	sub-pp126_task-walkFast	left_ankle	FC	794	795
403	pp126	sub-pp126_task-walkFast	right_ankle	IC	29	
